movieId,title,release_date,release_year,budget,popularity,revenue,runtime,primary_company,primary_genre,all_genres,avg_rating,review_count,director,budget_tier,log_budget,log_revenue,studio_tier,studio_label,release_season,roi,roi_capped,weighted_rating
18,Four Rooms,1995-12-09,1995,4000000,9.03,4300000.0,98.0,Miramax Films,Crime,Crime | Comedy,3.41,6090,Allison Anders,Low,15.2,15.27,1.0,Major Studio,Year-End,0.08,0.08,3.43
19,Ace Ventura: When Nature Calls,1995-11-10,1995,30000000,8.21,212385533.0,90.0,O Entertainment,Crime,Crime | Comedy | Adventure,2.63,24212,Steve Oedekerk,High,17.22,19.17,0.0,Independent,Year-End,6.08,6.08,2.66
20,Money Train,1995-11-21,1995,60000000,7.34,35431113.0,103.0,Columbia Pictures,Action,Action | Comedy | Crime,2.89,4621,Joseph Ruben,Blockbuster,17.91,17.38,1.0,Major Studio,Year-End,-0.41,-0.41,3.0
21,Get Shorty,1995-10-20,1995,30250000,12.67,115101622.0,105.0,Jersey Films,Comedy,Comedy | Thriller | Crime,3.57,25507,Barry Sonnenfeld,High,17.23,18.56,0.0,Independent,Other,2.81,2.81,3.57
23,Assassins,1995-10-06,1995,50000000,11.07,30303072.0,132.0,Silver Pictures,Action,Action | Adventure | Crime | Thriller,3.16,4796,Richard Donner,Blockbuster,17.73,17.23,1.0,Major Studio,Other,-0.39,-0.39,3.22
25,Leaving Las Vegas,1995-10-27,1995,3600000,10.33,49800000.0,112.0,United Artists,Drama,Drama | Romance,3.67,24619,Mike Figgis,Low,15.1,17.72,1.0,Major Studio,Other,12.83,12.83,3.67
27,Now and Then,1995-10-20,1995,12000000,8.68,27400000.0,100.0,New Line Cinema,Comedy,Comedy | Drama | Family,3.42,1850,Lesli Linka Glatter,Mid,16.3,17.13,1.0,Major Studio,Other,1.28,1.28,3.46
29,The City of Lost Children,1995-05-16,1995,18000000,9.82,1738611.0,108.0,Procirep,Fantasy,Fantasy | Science Fiction | Adventure,3.92,9897,Jean-Pierre Jeunet,High,16.71,14.37,0.0,Independent,Other,-0.9,-0.9,3.89
32,Twelve Monkeys,1995-12-29,1995,29500000,12.3,168840000.0,129.0,Universal Pictures,Science Fiction,Science Fiction | Thriller | Mystery,3.89,53398,Terry Gilliam,High,17.2,18.94,1.0,Major Studio,Year-End,4.72,4.72,3.88
34,Babe,1995-07-18,1995,30000000,14.4,254134910.0,89.0,Universal Pictures,Fantasy,Fantasy | Drama | Comedy | Family,3.62,35238,Chris Noonan,High,17.22,19.35,1.0,Major Studio,Summer,7.47,7.47,3.62
36,Dead Man Walking,1995-12-29,1995,11000000,6.89,39363635.0,122.0,Havoc,Drama,Drama,3.93,23751,Tim Robbins,Mid,16.21,17.49,0.0,Independent,Year-End,2.58,2.58,3.92
44,Mortal Kombat,1995-08-18,1995,18000000,10.87,122195920.0,101.0,New Line Cinema,Action,Action | Fantasy,2.63,12840,Paul W.S. Anderson,High,16.71,18.62,1.0,Major Studio,Summer,5.79,5.79,2.69
45,To Die For,1995-05-20,1995,20000000,10.45,21284514.0,106.0,The Rank Organisation,Fantasy,Fantasy | Drama | Comedy | Thriller,3.37,9632,Gus Van Sant,High,16.81,16.87,0.0,Independent,Other,0.06,0.06,3.39
46,How To Make An American Quilt,1995-10-06,1995,10000000,4.49,23574130.0,116.0,Universal Pictures,Drama,Drama | Romance,3.27,3325,Jocelyn Moorhouse,Mid,16.12,16.98,1.0,Major Studio,Other,1.36,1.36,3.33
47,Se7en,1995-09-22,1995,33000000,18.46,327311859.0,127.0,New Line Cinema,Crime,Crime | Mystery | Thriller,4.07,52658,David Fincher,High,17.31,19.61,1.0,Major Studio,Other,8.92,8.92,4.06
48,Pocahontas,1995-06-14,1995,55000000,13.28,346079773.0,81.0,Walt Disney Pictures,Adventure,Adventure | Animation | Drama | Family,2.96,15896,Mike Gabriel,Blockbuster,17.82,19.66,1.0,Major Studio,Summer,5.29,5.29,2.99
50,The Usual Suspects,1995-07-19,1995,6000000,16.3,23341568.0,106.0,Blue Parrot Productions,Drama,Drama | Crime | Thriller,4.3,59271,Bryan Singer,Mid,15.61,16.97,0.0,Independent,Summer,2.89,2.89,4.29
52,Mighty Aphrodite,1995-09-13,1995,15000000,15.9,6700000.0,95.0,Miramax Films,Comedy,Comedy | Romance,3.54,10338,Woody Allen,Mid,16.52,15.72,1.0,Major Studio,Other,-0.55,-0.55,3.54
69,Friday,1995-04-26,1995,3500000,14.57,28215918.0,91.0,New Line Cinema,Comedy,Comedy,3.55,5112,F. Gary Gray,Low,15.07,17.16,1.0,Major Studio,Other,7.06,7.06,3.55
70,From Dusk Till Dawn,1996-01-19,1996,19000000,15.34,25836616.0,108.0,A Band Apart,Horror,Horror | Action | Thriller | Crime,3.31,15200,Robert Rodriguez,High,16.76,17.07,0.0,Independent,Other,0.36,0.36,3.32
71,Fair Game,1995-11-03,1995,50000000,5.91,11534477.0,91.0,Silver Pictures,Action,Action | Thriller | Romance,2.35,1361,Andrew Sipes,Blockbuster,17.73,16.26,1.0,Major Studio,Year-End,-0.77,-0.77,2.82
75,Big Bully,1996-01-26,1996,15000000,2.94,2042530.0,90.0,Warner Bros.,Comedy,Comedy | Family,2.46,596,Steve Miner,Mid,16.52,14.53,1.0,Major Studio,Other,-0.86,-0.86,3.11
76,Screamers,1995-09-08,1995,20000000,12.76,5781885.0,108.0,The Movie Network (TMN),Horror,Horror | Science Fiction,3.02,3693,Christian Duguay,High,16.81,15.57,0.0,Independent,Other,-0.71,-0.71,3.12
81,Things to Do in Denver When You're Dead,1995-12-01,1995,8000000,4.49,529766.0,116.0,Miramax Films,Drama,Drama | Crime,3.27,3425,Gary Fleder,Mid,15.89,13.18,1.0,Major Studio,Year-End,-0.93,-0.93,3.33
86,White Squall,1996-02-02,1996,38000000,9.57,10300000.0,129.0,Hollywood Pictures,Action,Action | Drama,3.49,4587,Ridley Scott,High,17.45,16.15,1.0,Major Studio,Other,-0.73,-0.73,3.5
89,Nick of Time,1995-11-22,1995,8169363,6.85,8175346.0,90.0,Paramount Pictures,Crime,Crime | Drama | Thriller,3.14,3453,John Badham,Mid,15.92,15.92,1.0,Major Studio,Year-End,0.0,0.0,3.22
92,Mary Reilly,1996-02-23,1996,47000000,12.87,12379402.0,104.0,TriStar Pictures,Drama,Drama | Horror | Thriller | Romance,2.85,2448,Stephen Frears,Blockbuster,17.67,16.33,1.0,Major Studio,Other,-0.74,-0.74,3.03
93,Vampire in Brooklyn,1995-10-26,1995,14000000,9.07,19800000.0,100.0,Paramount Pictures,Comedy,Comedy | Horror | Romance,2.51,2159,Wes Craven,Mid,16.45,16.8,1.0,Major Studio,Other,0.41,0.41,2.81
95,Broken Arrow,1996-02-09,1996,50000000,14.96,150270147.0,108.0,Twentieth Century Fox Film Corporation,Action,Action | Adventure | Drama | Thriller,3.11,25604,John Woo,Blockbuster,17.73,18.83,1.0,Major Studio,Other,2.01,2.01,3.12
101,Bottle Rocket,1996-02-21,1996,7000000,6.9,560069.0,91.0,Gracie Films,Comedy,Comedy | Crime | Drama,3.78,4821,Wes Anderson,Mid,15.76,13.24,1.0,Major Studio,Other,-0.92,-0.92,3.75
104,Happy Gilmore,1996-02-16,1996,12000000,9.59,41205099.0,92.0,Universal Pictures,Comedy,Comedy,3.4,21500,Dennis Dugan,Mid,16.3,17.53,1.0,Major Studio,Other,2.43,2.43,3.41
105,The Bridges of Madison County,1995-05-28,1995,24000000,5.95,182016617.0,135.0,Amblin Entertainment,Drama,Drama | Romance,3.33,11182,Clint Eastwood,High,16.99,19.02,1.0,Major Studio,Other,6.58,6.58,3.35
110,Braveheart,1995-05-24,1995,72000000,20.76,210000000.0,177.0,Icon Entertainment International,Action,Action | Drama | History | War,4.02,66512,Mel Gibson,Blockbuster,18.09,19.16,1.0,Major Studio,Other,1.92,1.92,4.01
111,Taxi Driver,1976-02-07,1976,1300000,14.09,28262574.0,114.0,Columbia Pictures Corporation,Crime,Crime | Drama,4.09,31391,Martin Scorsese,Low,14.08,17.16,1.0,Major Studio,Other,20.74,20.74,4.08
112,Rumble in the Bronx,1995-01-30,1995,7500000,12.31,32392047.0,91.0,New Line Cinema,Crime,Crime | Action | Comedy | Thriller,3.4,13324,Stanley Tong,Mid,15.83,17.29,1.0,Major Studio,Other,3.32,3.32,3.41
119,Steal Big Steal Little,1995-09-29,1995,25000000,1.52,6278139.0,113.0,Savoy Pictures,Comedy,Comedy | Drama,2.8,271,Andrew Davis,High,17.03,15.65,0.0,Independent,Other,-0.75,-0.75,3.38
122,Boomerang,1992-06-30,1992,40000000,6.51,70100000.0,117.0,Paramount Pictures,Comedy,Comedy | Romance,2.86,4079,Reginald Hudlin,High,17.5,18.07,1.0,Major Studio,Summer,0.75,0.75,2.98
125,Flirting with Disaster,1996-03-22,1996,7000000,5.58,14702438.0,92.0,Miramax Films,Comedy,Comedy | Romance,3.74,3658,David O. Russell,Mid,15.76,16.5,1.0,Major Studio,Other,1.1,1.1,3.71
132,Jade,1995-10-13,1995,50000000,11.42,9851610.0,95.0,Paramount Pictures,Action,Action | Thriller | Mystery | Romance,2.77,2201,William Friedkin,Blockbuster,17.73,16.1,1.0,Major Studio,Other,-0.8,-0.8,2.99
141,The Birdcage,1996-03-08,1996,31000000,6.5,185260553.0,117.0,United Artists,Comedy,Comedy,3.52,25738,Mike Nichols,High,17.25,19.04,1.0,Major Studio,Other,4.98,4.98,3.52
145,Bad Boys,1995-04-07,1995,19000000,9.26,141407024.0,118.0,Columbia Pictures,Action,Action | Comedy | Crime | Thriller,3.27,14830,Michael Bay,High,16.76,18.77,1.0,Major Studio,Other,6.44,6.44,3.29
148,An Awfully Big Adventure,1995-07-21,1995,4000000,0.92,851545.0,113.0,Fine Line Features,Romance,Romance | Drama | Comedy,2.91,372,Mike Newell,Low,15.2,13.65,1.0,Major Studio,Summer,-0.79,-0.79,3.36
150,Apollo 13,1995-06-30,1995,52000000,18.76,355237933.0,140.0,Imagine Entertainment,Drama,Drama,3.88,57416,Ron Howard,Blockbuster,17.77,19.69,1.0,Major Studio,Summer,5.83,5.83,3.88
151,Rob Roy,1995-04-13,1995,28000000,10.19,31596911.0,139.0,United Artists,Adventure,Adventure,3.53,13526,Michael Caton-Jones,High,17.15,17.27,1.0,Major Studio,Other,0.13,0.13,3.53
153,Batman Forever,1995-06-16,1995,100000000,13.32,336529144.0,121.0,Warner Bros.,Action,Action | Crime | Fantasy,2.91,38187,Joel Schumacher,Blockbuster,18.42,19.63,1.0,Major Studio,Summer,2.37,2.37,2.92
156,Blue in the Face,1995-09-15,1995,2000000,11.53,1275000.0,83.0,Miramax Films,Comedy,Comedy,3.54,1751,Paul Auster,Low,14.51,14.06,1.0,Major Studio,Other,-0.36,-0.36,3.55
157,Canadian Bacon,1995-06-08,1995,11000000,5.39,178104.0,91.0,PolyGram Filmed Entertainment,Action,Action | Comedy,2.79,2743,Michael Moore,Mid,16.21,12.09,1.0,Major Studio,Summer,-0.98,-0.98,2.97
158,Casper,1995-05-26,1995,50000000,12.81,287928194.0,100.0,Universal Pictures,Fantasy,Fantasy | Comedy | Family,2.89,15559,Brad Silberling,Blockbuster,17.73,19.48,1.0,Major Studio,Other,4.76,4.76,2.93
159,Clockers,1995-09-15,1995,25000000,4.56,13071518.0,128.0,Universal Pictures,Mystery,Mystery | Crime | Drama,3.41,2458,Spike Lee,High,17.03,16.39,1.0,Major Studio,Other,-0.48,-0.48,3.45
160,Congo,1995-06-09,1995,50000000,7.26,152022101.0,109.0,Paramount Pictures,Action,Action | Adventure | Drama | Mystery | Science Fiction | Thriller,2.61,15868,Frank Marshall,Blockbuster,17.73,18.84,1.0,Major Studio,Summer,2.04,2.04,2.66
161,Crimson Tide,1995-05-12,1995,53000000,8.66,157387195.0,116.0,Hollywood Pictures,Action,Action | Thriller | Drama,3.75,26029,Tony Scott,Blockbuster,17.79,18.87,1.0,Major Studio,Other,1.97,1.97,3.74
163,Desperado,1995-08-25,1995,7000000,6.95,25405445.0,104.0,Columbia Pictures,Thriller,Thriller | Action | Crime,3.43,16823,Robert Rodriguez,Mid,15.76,17.05,1.0,Major Studio,Summer,2.63,2.63,3.44
164,Devil in a Blue Dress,1995-09-15,1995,27000000,4.65,16140822.0,102.0,TriStar Pictures,Drama,Drama | Mystery | Thriller,3.46,4589,Carl Franklin,High,17.11,16.6,1.0,Major Studio,Other,-0.4,-0.4,3.48
165,Die Hard: With a Vengeance,1995-05-19,1995,90000000,15.14,366101666.0,128.0,Twentieth Century Fox Film Corporation,Action,Action | Thriller,3.5,40436,John McTiernan,Blockbuster,18.32,19.72,1.0,Major Studio,Other,3.07,3.07,3.5
168,First Knight,1995-07-07,1995,55000000,15.18,127600435.0,134.0,Columbia Pictures Corporation,Action,Action | Adventure | Drama | Romance,3.06,13613,Jerry Zucker,Blockbuster,17.82,18.66,1.0,Major Studio,Summer,1.32,1.32,3.09
170,Hackers,1995-09-14,1995,20000000,14.81,7563728.0,107.0,United Artists,Action,Action | Crime | Thriller | Drama,3.22,9438,Iain Softley,High,16.81,15.84,1.0,Major Studio,Other,-0.62,-0.62,3.25
172,Johnny Mnemonic,1995-05-26,1995,25000000,11.72,19075720.0,97.0,TriStar Pictures,Adventure,Adventure | Action | Drama | Science Fiction | Thriller,2.75,14273,Robert Longo,High,17.03,16.76,1.0,Major Studio,Other,-0.24,-0.24,2.8
173,Judge Dredd,1995-06-30,1995,90000000,8.18,113493481.0,96.0,Hollywood Pictures,Science Fiction,Science Fiction,2.53,16819,Danny Cannon,Blockbuster,18.32,18.55,1.0,Major Studio,Summer,0.26,0.26,2.58
175,Kids,1995-07-28,1995,1500000,4.88,7412216.0,91.0,Miramax Films,Drama,Drama | Crime,3.53,5688,Larry Clark,Low,14.22,15.82,1.0,Major Studio,Summer,3.94,3.94,3.53
176,Living in Oblivion,1995-01-20,1995,500000,10.06,1148752.0,89.0,JDI productions,Drama,Drama | Comedy,3.85,2459,Tom DiCillo,Low,13.12,13.95,0.0,Independent,Other,1.3,1.3,3.77
180,Mallrats,1995-10-20,1995,6000000,8.26,2122561.0,94.0,Universal Pictures,Romance,Romance | Comedy,3.57,9536,Kevin Smith,Mid,15.61,14.57,1.0,Major Studio,Other,-0.65,-0.65,3.57
181,Mighty Morphin Power Rangers: The Movie,1995-06-30,1995,15000000,7.02,66000000.0,92.0,Twentieth Century Fox Film Corporation,Action,Action | Adventure | Science Fiction | Family | Fantasy,1.98,2960,Bryan Spicer,Mid,16.52,18.01,1.0,Major Studio,Summer,3.4,3.4,2.34
183,Mute Witness,1995-09-28,1995,2,2.47,1.0,95.0,Comet Film Produktion GmbH,Thriller,Thriller | Foreign,3.35,636,Anthony Waller,Low,1.1,0.69,0.0,Independent,Other,-0.5,-0.5,3.47
185,The Net,1995-07-28,1995,22000000,13.3,110627965.0,114.0,Columbia Pictures,Crime,Crime | Drama | Mystery | Thriller | Action,3.12,26551,Irwin Winkler,High,16.91,18.52,1.0,Major Studio,Summer,4.03,4.03,3.13
187,Party Girl,1995-06-09,1995,150000,1.17,472370.0,94.0,Party Productions,Comedy,Comedy,3.45,984,Daisy von Scherler Mayer,Low,11.92,13.07,0.0,Independent,Summer,2.15,2.15,3.5
188,The Prophecy,1995-09-01,1995,8,10.19,16.0,98.0,Dimension Films,Fantasy,Fantasy | Horror | Thriller,3.33,2682,Gregory Widen,Low,2.2,2.83,1.0,Major Studio,Other,1.0,1.0,3.39
191,The Scarlet Letter,1995-10-13,1995,50000000,6.75,10382407.0,135.0,Hollywood Pictures,Drama,Drama | History | Romance,2.69,1840,Roland Joffé,Blockbuster,17.73,16.16,1.0,Major Studio,Other,-0.79,-0.79,2.97
193,Showgirls,1995-09-22,1995,45000000,17.5,20350754.0,128.0,United Artists,Drama,Drama,2.25,8797,Paul Verhoeven,Blockbuster,17.62,16.83,1.0,Major Studio,Other,-0.55,-0.55,2.37
194,Smoke,1995-06-09,1995,7000000,5.55,8349430.0,112.0,Miramax Films,Comedy,Comedy | Drama,3.84,6380,Wayne Wang,Mid,15.76,15.94,1.0,Major Studio,Summer,0.19,0.19,3.81
196,Species,1995-07-07,1995,35000000,13.49,113374103.0,108.0,Metro-Goldwyn-Mayer (MGM),Science Fiction,Science Fiction | Horror | Action,2.83,15154,Roger Donaldson,High,17.37,18.55,1.0,Major Studio,Summer,2.24,2.24,2.87
198,Strange Days,1995-10-13,1995,42000000,11.22,7959291.0,145.0,Lightstorm Entertainment,Crime,Crime | Drama | Science Fiction | Thriller,3.42,9821,Kathryn Bigelow,Blockbuster,17.55,15.89,0.0,Independent,Other,-0.81,-0.81,3.43
200,The Tie That Binds,1995-09-08,1995,14000000,1.82,5780000.0,99.0,Hollywood Pictures,Thriller,Thriller,2.84,354,Wesley Strick,Mid,16.45,15.57,1.0,Major Studio,Other,-0.59,-0.59,3.35
204,Under Siege 2: Dark Territory,1995-07-13,1995,60000000,7.49,104324083.0,100.0,Regency Enterprises,Action,Action | Thriller,2.93,9195,Geoff Murphy,Blockbuster,17.91,18.46,1.0,Major Studio,Summer,0.74,0.74,2.98
207,A Walk in the Clouds,1995-08-11,1995,20000000,9.72,50012507.0,103.0,Twentieth Century Fox Film Corporation,Drama,Drama | Romance,3.37,5972,Alfonso Aráu,High,16.81,17.73,1.0,Major Studio,Summer,1.5,1.5,3.39
208,Waterworld,1995-07-28,1995,175000000,16.89,264218220.0,135.0,Universal Pictures,Adventure,Adventure | Action,2.86,30719,Kevin Reynolds,Blockbuster,18.98,19.39,1.0,Major Studio,Summer,0.51,0.51,2.88
213,Burnt by the Sun,1994-05-01,1994,2800000,2.49,2616503.0,135.0,Canal+,Drama,Drama,4.03,1985,Nikita Mikhalkov,Low,14.85,14.78,1.0,Major Studio,Other,-0.07,-0.07,3.89
215,Before Sunrise,1995-01-27,1995,2500000,11.3,5535405.0,105.0,Detour Film Production,Drama,Drama | Romance,3.89,6823,Richard Linklater,Low,14.73,15.53,0.0,Independent,Other,1.21,1.21,3.85
216,Billy Madison,1995-02-10,1995,10000000,6.64,26488734.0,89.0,Jack Giarraputo Productions,Comedy,Comedy,3.25,10356,Tamra Davis,Mid,16.12,17.09,0.0,Independent,Other,1.65,1.65,3.27
218,Boys on the Side,1995-02-03,1995,21000000,3.03,23450000.0,115.0,Regency Enterprises,Comedy,Comedy | Drama,3.29,4410,Herbert Ross,High,16.86,16.97,1.0,Major Studio,Other,0.12,0.12,3.33
223,Clerks,1994-09-13,1994,27000,10.51,3151130.0,92.0,Miramax Films,Comedy,Comedy,3.86,26104,Kevin Smith,Low,10.2,14.96,1.0,Major Studio,Other,115.71,83.22319999999979,3.85
224,Don Juan DeMarco,1994-10-01,1994,25000000,7.44,22200000.0,97.0,New Line Cinema,Romance,Romance | Drama | Comedy,3.44,9091,Jeremy Leven,High,17.03,16.92,1.0,Major Studio,Other,-0.11,-0.11,3.45
225,Disclosure,1994-12-09,1994,55000000,11.81,214015089.0,123.0,Warner Bros.,Drama,Drama | Thriller | Crime | Mystery | Romance,3.29,13371,Barry Levinson,Blockbuster,17.82,19.18,1.0,Major Studio,Year-End,2.89,2.89,3.31
231,Dumb and Dumber,1994-12-16,1994,16000000,9.84,247275374.0,107.0,New Line Cinema,Comedy,Comedy,2.95,37036,Peter Farrelly,Mid,16.59,19.33,1.0,Major Studio,Year-End,14.45,14.45,2.96
235,Ed Wood,1994-09-27,1994,18000000,11.72,5887457.0,127.0,Touchstone Pictures,Comedy,Comedy | Drama | History,3.66,17553,Tim Burton,High,16.71,15.59,1.0,Major Studio,Other,-0.67,-0.67,3.66
240,Hideaway,1995-03-03,1995,15000000,8.18,12201255.0,103.0,TriStar Pictures,Drama,Drama | Thriller,2.9,865,Brett Leonard,Mid,16.52,16.32,1.0,Major Studio,Other,-0.19,-0.19,3.23
246,Hoop Dreams,1994-09-12,1994,700000,9.48,7830611.0,171.0,Fine Line Features,Documentary,Documentary,4.0,11412,Steve James,Low,13.46,15.87,1.0,Major Studio,Other,10.19,10.19,3.97
247,Heavenly Creatures,1994-09-02,1994,5000000,9.44,3049135.0,99.0,WingNut Films,Drama,Drama | Fantasy,3.82,8271,Peter Jackson,Low,15.42,14.93,1.0,Major Studio,Other,-0.39,-0.39,3.8
248,Houseguest,1995-01-06,1995,10500000,2.69,26325256.0,113.0,Caravan Pictures,Comedy,Comedy | Family,3.01,3248,Randall Miller,Mid,16.17,17.09,1.0,Major Studio,Other,1.51,1.51,3.13
253,Interview with the Vampire,1994-11-11,1994,60000000,11.97,223664608.0,123.0,Geffen Pictures,Horror,Horror | Romance,3.5,30575,Neil Jordan,Blockbuster,17.91,19.23,0.0,Independent,Year-End,2.73,2.73,3.5
254,Jefferson in Paris,1995-03-31,1995,14000000,1.6,2474000.0,139.0,Merchant Ivory Productions,Drama,Drama | Romance,2.88,649,James Ivory,Mid,16.45,14.72,0.0,Independent,Other,-0.82,-0.82,3.27
256,Junior,1994-11-22,1994,60000000,6.71,37000000.0,109.0,Universal Pictures,Comedy,Comedy | Family | Romance,2.69,11558,Ivan Reitman,Blockbuster,17.91,17.43,1.0,Major Studio,Year-End,-0.38,-0.38,2.75
260,Star Wars,1977-05-25,1977,11000000,42.15,775398007.0,121.0,Lucasfilm,Adventure,Adventure | Action | Science Fiction,4.13,77045,George Lucas,Mid,16.21,20.47,1.0,Major Studio,Other,69.49,69.49,4.12
265,Like Water for Chocolate,1992-04-16,1992,2000000,4.13,21665468.0,105.0,Aviacsa,Drama,Drama | Romance,3.92,12618,Alfonso Aráu,Low,14.51,16.89,0.0,Independent,Other,9.83,9.83,3.9
266,Legends of the Fall,1994-12-16,1994,30000000,12.2,160638883.0,133.0,Bedford Falls Productions,Adventure,Adventure | Drama | Romance | War,3.5,17833,Edward Zwick,High,17.22,18.89,0.0,Independent,Year-End,4.35,4.35,3.5
271,Losing Isaiah,1995-03-17,1995,17000000,7.7,7603766.0,106.0,Paramount Pictures,Drama,Drama,3.33,1307,Stephen Gyllenhaal,Mid,16.65,15.84,1.0,Major Studio,Other,-0.55,-0.55,3.42
273,Mary Shelley's Frankenstein,1994-11-04,1994,45000000,14.29,112006296.0,123.0,American Zoetrope,Drama,Drama | Horror | Science Fiction | Romance,3.12,8330,Kenneth Branagh,Blockbuster,17.62,18.53,1.0,Major Studio,Year-End,1.49,1.49,3.16
278,Miami Rhapsody,1995-01-27,1995,6,1.14,5.0,95.0,Hollywood Pictures,Comedy,Comedy | Romance,3.02,1178,David Frankel,Low,1.95,1.79,1.0,Major Studio,Other,-0.17,-0.17,3.25
282,Nell,1994-12-23,1994,31000000,5.93,106683817.0,112.0,Twentieth Century Fox Film Corporation,Drama,Drama | Thriller,3.39,12340,Michael Apted,High,17.25,18.49,1.0,Major Studio,Year-End,2.44,2.44,3.4
288,Natural Born Killers,1994-08-25,1994,34000000,11.23,50282766.0,119.0,Regency Enterprises,Crime,Crime | Thriller | Drama,3.25,25898,Oliver Stone,High,17.34,17.73,1.0,Major Studio,Summer,0.48,0.48,3.26
292,Outbreak,1995-03-10,1995,50000000,13.68,189859560.0,127.0,Kopelson Entertainment,Action,Action | Drama | Science Fiction | Thriller,3.42,28649,Wolfgang Petersen,Blockbuster,17.73,19.06,0.0,Independent,Other,2.8,2.8,3.42
293,Leon: The Professional,1994-09-14,1994,16000000,20.48,45284974.0,110.0,Columbia Pictures,Thriller,Thriller | Crime | Drama,4.08,34361,Luc Besson,Mid,16.59,17.63,1.0,Major Studio,Other,1.83,1.83,4.07
294,The Perez Family,1995-05-12,1995,11000000,1.43,2832826.0,113.0,"Samuel Goldwyn Company, The",Comedy,Comedy | Drama | Romance,3.17,864,Mira Nair,Mid,16.21,14.86,0.0,Independent,Other,-0.74,-0.74,3.36
296,Pulp Fiction,1994-09-10,1994,8000000,140.95,213928762.0,154.0,Miramax Films,Thriller,Thriller | Crime,4.17,87901,Quentin Tarantino,Mid,15.89,19.18,1.0,Major Studio,Other,25.74,25.74,4.16
298,Pushing Hands,1992-02-01,1992,400000,1.64,152322.0,105.0,Ang Lee Productions,Comedy,Comedy | Drama,3.51,253,Ang Lee,Low,12.9,11.93,0.0,Independent,Other,-0.62,-0.62,3.55
303,The Quick and the Dead,1995-02-09,1995,32000000,7.55,18552460.0,107.0,TriStar Pictures,Action,Action | Western,3.04,7820,Sam Raimi,High,17.28,16.74,1.0,Major Studio,Other,-0.42,-0.42,3.09
304,Roommates,1995-03-01,1995,22000000,3.4,12400000.0,108.0,Hollywood Pictures,Drama,Drama | Comedy,3.19,747,Peter Yates,High,16.91,16.33,1.0,Major Studio,Other,-0.44,-0.44,3.39
305,Prêt-à-Porter,1994-12-23,1994,15000000,6.26,11300653.0,133.0,Miramax Films,Drama,Drama | Comedy,2.7,3531,Robert Altman,Mid,16.52,16.24,1.0,Major Studio,Year-End,-0.25,-0.25,2.87
313,The Swan Princess,1994-11-18,1994,35000000,8.91,9771658.0,89.0,Rich Animation Studios,Animation,Animation,3.06,1416,Richard Rich,High,17.37,16.09,0.0,Independent,Year-End,-0.72,-0.72,3.25
